DN;Dc;Di;Do;h;lambda;s;Rs
20;0.14;0.0217;0.0269;0.019;0.027999999999999997;0.0026;13.6694342483
25;0.16;0.0273;0.0337;0.019;0.027999999999999997;0.0032;12.989903726300001
32;0.18;0.036000000000000004;0.0424;0.019;0.027999999999999997;0.0032;11.729470983599999
40;0.18;0.0419;0.0483;0.019;0.027999999999999997;0.0032;10.221751356799999
50;0.225;0.0539;0.0603;0.02;0.027999999999999997;0.0032;10.2006153807
65;0.25;0.0697;0.0761;0.02;0.027999999999999997;0.0032;8.709106207849999
80;0.28;0.0825;0.0889;0.025;0.027999999999999997;0.0032;7.96586602102
100;0.355;0.1071;0.1143;0.025;0.027999999999999997;0.0036;7.914167979410001
125;0.45;0.1325;0.1397;0.03;0.027999999999999997;0.0036;8.226556271849999
150;0.5;0.1603;0.1683;0.04;0.027999999999999997;0.004;7.024435542130001
200;0.63;0.2101;0.2191;0.045;0.027999999999999997;0.0045;6.61746536101
250;0.45;0.263;0.273;0.15;0.027999999999999997;0.005;3.6327332209599996
300;0.5;0.3127;0.3239;0.15;0.027999999999999997;0.0056;3.2215167115900005
350;0.56;0.3444;0.3556;0.15;0.027999999999999997;0.0056;3.2894863065599997
400;0.63;0.3938;0.4064;0.15;0.027999999999999997;0.0063;3.16845035545
450;0.67;0.4444;0.457;0.15;0.027999999999999997;0.0063;2.81559350194
500;0.71;0.4954;0.508;0.15;0.027999999999999997;0.0063;2.51280225442
600;0.9;0.5958;0.61;0.15;0.027999999999999997;0.0071;2.75731866238
700;1.0;0.695;0.711;0.15;0.027999999999999997;0.008;2.45580308273
800;1.1;0.7954;0.813;0.15;0.027999999999999997;0.0088;2.20826628883
900;1.2;0.894;0.914;0.15;0.027999999999999997;0.01;2.01866808268
1000;1.3;0.9940000000000001;1.016;0.15;0.027999999999999997;0.011000000000000001;1.85289394148
